Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date
OQ130451,Severe acute respiratory syndrome coronavirus 2,"Noh,K., Back,S., Jang,M., Park,H., Jeong,S., Heo,M., Jang,S., Park,D., Ha,N., Kang,M.","Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",South Korea,2022-12-27T00:00:00Z,B.1.497,4.3/1.21/v0.1.12/0.3.18,,hCoV-19#South Korea#JIHE(WGS)-140110#2021,Severe acute respiratory syndrome-related coronavirus,29779,complete,South Korea,South Korea,,,,2021-03-08
OQ130497,Severe acute respiratory syndrome coronavirus 2,"Noh,K., Back,S., Jang,M., Park,H., Jeong,S., Heo,M., Jang,S., Park,D., Ha,N., Kang,M.","Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",South Korea,2022-12-27T00:00:00Z,AY.69,4.3/1.21/v0.1.12/0.3.18,,hCoV-19#South Korea#JIHE(WGS)-259110#2021,Severe acute respiratory syndrome-related coronavirus,29734,complete,South Korea,South Korea,,,,2021-08-02
OQ130499,Severe acute respiratory syndrome coronavirus 2,"Noh,K., Back,S., Jang,M., Park,H., Jeong,S., Heo,M., Jang,S., Park,D., Ha,N., Kang,M.","Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",South Korea,2022-12-27T00:00:00Z,AY.69,4.3/1.21/v0.1.12/0.3.18,,hCoV-19#South Korea#JIHE(WGS)-274581#2021,Severe acute respiratory syndrome-related coronavirus,29767,complete,South Korea,South Korea,,,,2021-08-20
OQ130500,Severe acute respiratory syndrome coronavirus 2,"Noh,K., Back,S., Jang,M., Park,H., Jeong,S., Heo,M., Jang,S., Park,D., Ha,N., Kang,M.","Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",South Korea,2022-12-27T00:00:00Z,BA.1.1,4.3/1.21/v0.1.12/0.3.18,,hCoV-19#South Korea#JIHE(WGS)-352117#2021,Severe acute respiratory syndrome-related coronavirus,29723,complete,South Korea,South Korea,,,,2021-12-21
OM995890,Severe acute respiratory syndrome coronavirus 2,"Ip,H.S., Hall,J.S.","USGS National Wildlife Health Center, Diagnostic Virology Laboratory",USA,2022-12-07T00:00:00Z,A,4.3/1.21/v0.1.12/0.3.18,,243289-P1,Severe acute respiratory syndrome-related coronavirus,29830,complete,"USA: Wisconsin, Dane County",USA,WI,Tadarida brasiliensis,oronasopharynx,2022-01-12
OM995891,Severe acute respiratory syndrome coronavirus 2,"Ip,H.S., Hall,J.S.","USGS National Wildlife Health Center, Diagnostic Virology Laboratory",USA,2022-12-07T00:00:00Z,A,4.3/1.21/v0.1.12/0.3.18,,243289-P3,Severe acute respiratory syndrome-related coronavirus,29803,complete,"USA: Wisconsin, Dane County",USA,WI,Tadarida brasiliensis,oronasopharynx,2022-01-25
OL691925,Severe acute respiratory syndrome coronavirus 2,"Mahajan,S., Karikalan,M., Chander,V., Pawde,A.M., Saikumar,G., Semmaran,M., Lakshmi,P.S., Sharma,M., Nandi,S., Singh,K.P., Gupta,V.K., Singh,R.K., Sharma,G.K., Kumar,S.","Indian Veterinary Research Institute, CADRAD",India,2022-09-27T00:00:00Z,B.1.617.2,4.3/1.21/v0.1.12/0.3.18,,India_leopard_21,Severe acute respiratory syndrome-related coronavirus,29875,complete,India,India,,Panthera pardus fusca,oronasopharynx,2021-09-10
OL739160,Severe acute respiratory syndrome coronavirus 2,"Moreno,A., Lelli,D., Trogu,T., Lavazza,A., Barbieri,I., Boniotti,M., Pezzoni,G., Salogni,C., Giovannini,S., Alborali,G., Bellini,S., Boldini,M., Farioli,M., Ruocco,L., Bessi,O., Maroni Ponti,A., Di Bartolo,I., De Sabato,L., Vaccari,G., Belli,G., Margutti,A., Giorgi,M.","Istituto Superiore di Sanita, Dept. Food safety, Nutrition and Veterinary Public Health",Italy,2022-09-02T00:00:00Z,B.1.160,4.3/1.21/v0.1.12/0.3.18,,350227-1-20,Severe acute respiratory syndrome-related coronavirus,29835,complete,Italy,Italy,,Neogale vison,oronasopharynx,2020-10-29
ON982606,Severe acute respiratory syndrome coronavirus 2,"Chan,T., Kuhlmeier,E., Meli,M.L., Hofmann-Lehmann,R., Beisel,C., Valenzuela Agui,C., Chen,C., Topolsky,I., Jablonski,P., Fuhrmann,L., Dreifuss,D., Jahn,K., Denes,R., Nissen,I., Feldkamp,M., Burcklen,E., Beerenwinkel,N., Stadler,T.","ETH Zurich, Department of Biosystems Science and Engineering",Switzerland,2022-07-14T00:00:00Z,AY.4,4.3/1.21/v0.1.12/0.3.18,,P1841_USZ38_Tier_2,Severe acute respiratory syndrome-related coronavirus,29817,complete,Switzerland,Switzerland,,Felis catus,oronasopharynx,2021-12-14
ON982610,Severe acute respiratory syndrome coronavirus 2,"Chan,T., Kuhlmeier,E., Meli,M.L., Hofmann-Lehmann,R., Beisel,C., Valenzuela Agui,C., Chen,C., Topolsky,I., Jablonski,P., Fuhrmann,L., Dreifuss,D., Jahn,K., Denes,R., Nissen,I., Feldkamp,M., Burcklen,E., Beerenwinkel,N., Stadler,T.","ETH Zurich, Department of Biosystems Science and Engineering",Switzerland,2022-07-14T00:00:00Z,B.1.617.2,4.3/1.21/v0.1.12/0.3.18,,P1841_USZ39_Tier_1,Severe acute respiratory syndrome-related coronavirus,29817,complete,Switzerland,Switzerland,,Felis catus,oronasopharynx,2021-12-09
ON982611,Severe acute respiratory syndrome coronavirus 2,"Chan,T., Kuhlmeier,E., Meli,M.L., Hofmann-Lehmann,R., Beisel,C., Valenzuela Agui,C., Chen,C., Topolsky,I., Jablonski,P., Fuhrmann,L., Dreifuss,D., Jahn,K., Denes,R., Nissen,I., Feldkamp,M., Burcklen,E., Beerenwinkel,N., Stadler,T.","ETH Zurich, Department of Biosystems Science and Engineering",Switzerland,2022-07-14T00:00:00Z,B.1.617.2,4.3/1.21/v0.1.12/0.3.18,,P1841_USZ39_Tier_2,Severe acute respiratory syndrome-related coronavirus,29817,complete,Switzerland,Switzerland,,Felis catus,oronasopharynx,2021-12-09
ON982612,Severe acute respiratory syndrome coronavirus 2,"Chan,T., Kuhlmeier,E., Meli,M.L., Hofmann-Lehmann,R., Beisel,C., Valenzuela Agui,C., Chen,C., Topolsky,I., Jablonski,P., Fuhrmann,L., Dreifuss,D., Jahn,K., Denes,R., Nissen,I., Feldkamp,M., Burcklen,E., Beerenwinkel,N., Stadler,T.","ETH Zurich, Department of Biosystems Science and Engineering",Switzerland,2022-07-14T00:00:00Z,AY.129,4.3/1.21/v0.1.12/0.3.18,,P1784_USZ22_Tier1_F1,Severe acute respiratory syndrome-related coronavirus,29824,complete,Switzerland,Switzerland,,Canis lupus familiaris,oronasopharynx,2021-11-16
ON966106,Severe acute respiratory syndrome coronavirus 2,"Piewbang,C., Poonsin,P., Lohavicharn,P., Wardharni,S.W., Dankaona,W., Puenpa,J., Poovorawan,Y., Techangamsuwan,S.","Animal Virome and Diagnostic Development, Pathology, Faculty of Veterinary Science, Chulalongkorn University",Thailand,2022-07-12T00:00:00Z,B.1,4.3/1.21/v0.1.12/0.3.18,,BKK-K1,Severe acute respiratory syndrome-related coronavirus,29831,complete,Thailand: Bangkok,Thailand,,Canis lupus,lung,2020-04-04
ON966107,Severe acute respiratory syndrome coronavirus 2,"Piewbang,C., Poonsin,P., Lohavicharn,P., Wardharni,S.W., Dankaona,W., Puenpa,J., Poovorawan,Y., Techangamsuwan,S.","Animal Virome and Diagnostic Development, Pathology, Faculty of Veterinary Science, Chulalongkorn University",Thailand,2022-07-12T00:00:00Z,B.1.617.2,4.3/1.21/v0.1.12/0.3.18,,PK055,Severe acute respiratory syndrome-related coronavirus,29861,complete,Thailand: Phuket,Thailand,,Felis catus,oronasopharynx,2021-07-28
ON966112,Severe acute respiratory syndrome coronavirus 2,"Piewbang,C., Poonsin,P., Lohavicharn,P., Wardharni,S.W., Dankaona,W., Puenpa,J., Poovorawan,Y., Techangamsuwan,S.","Animal Virome and Diagnostic Development, Pathology, Faculty of Veterinary Science, Chulalongkorn University",Thailand,2022-07-12T00:00:00Z,B.1.1,4.3/1.21/v0.1.12/0.3.18,,BKK102,Severe acute respiratory syndrome-related coronavirus,29830,complete,Thailand: Bangkok,Thailand,,Felis catus,oronasopharynx,2021-08-21
ON966113,Severe acute respiratory syndrome coronavirus 2,"Piewbang,C., Poonsin,P., Lohavicharn,P., Wardharni,S.W., Dankaona,W., Puenpa,J., Poovorawan,Y., Techangamsuwan,S.","Animal Virome and Diagnostic Development, Pathology, Faculty of Veterinary Science, Chulalongkorn University",Thailand,2022-07-12T00:00:00Z,B.1.1,4.3/1.21/v0.1.12/0.3.18,,BKK100-08-11,Severe acute respiratory syndrome-related coronavirus,29830,complete,Thailand: Bangkok,Thailand,,Felis catus,oronasopharynx,2021-08-11
OW444299,Severe acute respiratory syndrome coronavirus 2,,"Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493",Germany,2022-06-22T00:00:00Z,B.1,4.3/1.21/v0.1.12/0.3.18,,SARS-CoV-2 2019-nCoV_Muc-IMB1_3.Vero-E6 in hamster H.318,Severe acute respiratory syndrome-related coronavirus,29878,complete,Germany:Greifswald-Riems,Germany,,Mesocricetus auratus,,2022
OW444422,Severe acute respiratory syndrome coronavirus 2,,"Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493",Germany,2022-06-22T00:00:00Z,B.1,4.3/1.21/v0.1.12/0.3.18,,SARS-CoV-2 2019-nCoV_Muc-IMB1_3.Vero-E6 in hamster H.310,Severe acute respiratory syndrome-related coronavirus,29867,complete,Germany:Greifswald-Riems,Germany,,Mesocricetus auratus,,2022
ON455042,Severe acute respiratory syndrome coronavirus 2,"Johnson,B.N., Beck,J., Finnicum,C.T., Silvernail,C., Vaselaar,E., Kallsen,N., Long,K., Katz,C., Pfeifle,M., Nelson,L., Huizenga,P., Streier,Z., Viet,S., Davis,C., Petersen,J., Peta,V., Do,T., Agany,D.M., Hoffman,M., Cooper,L., McFadden,L., Huber,V., Gnimpieba,E.Z., Ehli,E.A.","University of South Dakota, Biomedical Engineering",USA,2022-05-09T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,SD-SDAIHG-0825,Severe acute respiratory syndrome-related coronavirus,29776,complete,USA: South Dakota,USA,SD,,,2021-02-18
ON455043,Severe acute respiratory syndrome coronavirus 2,"Johnson,B.N., Beck,J., Finnicum,C.T., Silvernail,C., Vaselaar,E., Kallsen,N., Long,K., Katz,C., Pfeifle,M., Nelson,L., Huizenga,P., Streier,Z., Viet,S., Davis,C., Petersen,J., Peta,V., Do,T., Agany,D.M., Hoffman,M., Cooper,L., McFadden,L., Huber,V., Gnimpieba,E.Z., Ehli,E.A.","University of South Dakota, Biomedical Engineering",USA,2022-05-09T00:00:00Z,B.1.429,4.3/1.21/v0.1.12/0.3.18,,SD-SDAIHG-0809,Severe acute respiratory syndrome-related coronavirus,29777,complete,USA: South Dakota,USA,SD,,,2021-02-01
ON455045,Severe acute respiratory syndrome coronavirus 2,"Johnson,B.N., Beck,J., Finnicum,C.T., Silvernail,C., Vaselaar,E., Kallsen,N., Long,K., Katz,C., Pfeifle,M., Nelson,L., Huizenga,P., Streier,Z., Viet,S., Davis,C., Petersen,J., Peta,V., Do,T., Agany,D.M., Hoffman,M., Cooper,L., McFadden,L., Huber,V., Gnimpieba,E.Z., Ehli,E.A.","University of South Dakota, Biomedical Engineering",USA,2022-05-09T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,SD-SDAIHG-0807,Severe acute respiratory syndrome-related coronavirus,29776,complete,USA: South Dakota,USA,SD,,,2021-01-31
ON455059,Severe acute respiratory syndrome coronavirus 2,"Johnson,B.N., Beck,J., Finnicum,C.T., Silvernail,C., Vaselaar,E., Kallsen,N., Long,K., Katz,C., Pfeifle,M., Nelson,L., Huizenga,P., Streier,Z., Viet,S., Davis,C., Petersen,J., Peta,V., Do,T., Agany,D.M., Hoffman,M., Cooper,L., McFadden,L., Huber,V., Gnimpieba,E.Z., Ehli,E.A.","University of South Dakota, Biomedical Engineering",USA,2022-05-09T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,SD-SDAIHG-0810,Severe acute respiratory syndrome-related coronavirus,29774,complete,USA: South Dakota,USA,SD,,,2021-02-01
ON455060,Severe acute respiratory syndrome coronavirus 2,"Johnson,B.N., Beck,J., Finnicum,C.T., Silvernail,C., Vaselaar,E., Kallsen,N., Long,K., Katz,C., Pfeifle,M., Nelson,L., Huizenga,P., Streier,Z., Viet,S., Davis,C., Petersen,J., Peta,V., Do,T., Agany,D.M., Hoffman,M., Cooper,L., McFadden,L., Huber,V., Gnimpieba,E.Z., Ehli,E.A.","University of South Dakota, Biomedical Engineering",USA,2022-05-09T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,SD-SDAIHG-0811,Severe acute respiratory syndrome-related coronavirus,29777,complete,USA: South Dakota,USA,SD,,,2021-01-31
ON455064,Severe acute respiratory syndrome coronavirus 2,"Johnson,B.N., Beck,J., Finnicum,C.T., Silvernail,C., Vaselaar,E., Kallsen,N., Long,K., Katz,C., Pfeifle,M., Nelson,L., Huizenga,P., Streier,Z., Viet,S., Davis,C., Petersen,J., Peta,V., Do,T., Agany,D.M., Hoffman,M., Cooper,L., McFadden,L., Huber,V., Gnimpieba,E.Z., Ehli,E.A.","University of South Dakota, Biomedical Engineering",USA,2022-05-09T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,SD-SDAIHG-0782,Severe acute respiratory syndrome-related coronavirus,29777,complete,USA: South Dakota,USA,SD,,,2021-01-19
ON455069,Severe acute respiratory syndrome coronavirus 2,"Johnson,B.N., Beck,J., Finnicum,C.T., Silvernail,C., Vaselaar,E., Kallsen,N., Long,K., Katz,C., Pfeifle,M., Nelson,L., Huizenga,P., Streier,Z., Viet,S., Davis,C., Petersen,J., Peta,V., Do,T., Agany,D.M., Hoffman,M., Cooper,L., McFadden,L., Huber,V., Gnimpieba,E.Z., Ehli,E.A.","University of South Dakota, Biomedical Engineering",USA,2022-05-09T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,SD-SDAIHG-0806,Severe acute respiratory syndrome-related coronavirus,29777,complete,USA: South Dakota,USA,SD,,,2021-01-20
ON455072,Severe acute respiratory syndrome coronavirus 2,"Johnson,B.N., Beck,J., Finnicum,C.T., Silvernail,C., Vaselaar,E., Kallsen,N., Long,K., Katz,C., Pfeifle,M., Nelson,L., Huizenga,P., Streier,Z., Viet,S., Davis,C., Petersen,J., Peta,V., Do,T., Agany,D.M., Hoffman,M., Cooper,L., McFadden,L., Huber,V., Gnimpieba,E.Z., Ehli,E.A.","University of South Dakota, Biomedical Engineering",USA,2022-05-09T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,SD-SDAIHG-0803,Severe acute respiratory syndrome-related coronavirus,29777,complete,USA: South Dakota,USA,SD,,,2021-01-18
ON455074,Severe acute respiratory syndrome coronavirus 2,"Johnson,B.N., Beck,J., Finnicum,C.T., Silvernail,C., Vaselaar,E., Kallsen,N., Long,K., Katz,C., Pfeifle,M., Nelson,L., Huizenga,P., Streier,Z., Viet,S., Davis,C., Petersen,J., Peta,V., Do,T., Agany,D.M., Hoffman,M., Cooper,L., McFadden,L., Huber,V., Gnimpieba,E.Z., Ehli,E.A.","University of South Dakota, Biomedical Engineering",USA,2022-05-09T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,SD-SDAIHG-0812,Severe acute respiratory syndrome-related coronavirus,29777,complete,USA: South Dakota,USA,SD,,,2021-02-01
ON455075,Severe acute respiratory syndrome coronavirus 2,"Johnson,B.N., Beck,J., Finnicum,C.T., Silvernail,C., Vaselaar,E., Kallsen,N., Long,K., Katz,C., Pfeifle,M., Nelson,L., Huizenga,P., Streier,Z., Viet,S., Davis,C., Petersen,J., Peta,V., Do,T., Agany,D.M., Hoffman,M., Cooper,L., McFadden,L., Huber,V., Gnimpieba,E.Z., Ehli,E.A.","University of South Dakota, Biomedical Engineering",USA,2022-05-09T00:00:00Z,B.1.429,4.3/1.21/v0.1.12/0.3.18,,SD-SDAIHG-0814,Severe acute respiratory syndrome-related coronavirus,29777,complete,USA: South Dakota,USA,SD,,,2021-02-01
ON380441,Severe acute respiratory syndrome coronavirus 2,"Faizuloev,E., Korchevaya,E., Gracheva,A., Petrusha,O., Smirnova,D., Svitich,O., Zverev,V.","Mechnikov Research Institute of Vaccines & Sera, Virology",Russia,2022-04-29T00:00:00Z,B.1.1.317,4.3/1.21/v0.1.12/0.3.18,,Dubrovka-37,Severe acute respiratory syndrome-related coronavirus,29785,complete,Russia: Moscow,Russia,,,oronasopharynx,2021-03-23
ON248600,Severe acute respiratory syndrome coronavirus 2,"Kumar,D., Vora,D., Antiya,S.P., Patel,S., Sharma,K., Pandit,R., Suthar,V.S., Joshi,M., Joshi,C.G., Patel,A.C., Chauhan,H.C.","College of Veterinary Science & A.H., Kamdhenu University, Department of Veterianry Microbiology",India,2022-04-18T00:00:00Z,B.1.617.2,4.3/1.21/v0.1.12/0.3.18,,A4N_Dog_Gujarat_India,Severe acute respiratory syndrome-related coronavirus,29816,complete,India,India,,Canis lupus familiaris,oronasopharynx,2021-05-26
MW856303,Severe acute respiratory syndrome coronavirus 2,"Carvallo,F.R., Martins,M., Joshi,L.R., Caserta,L.C., Mitchell,P.K., Cecere,T., Hancock,S., Goodrich,E.L., Murphy,J., Diel,D.G.","Cornell University, Population Medicine and Diagnostic Sciences",USA,2022-04-02T00:00:00Z,B.1.240,4.3/1.21/v0.1.12/0.3.18,,VA-Cat06-20,Severe acute respiratory syndrome-related coronavirus,29731,complete,USA: Virginia,USA,VA,Felis catus,,2020-12-18
ON110357,Severe acute respiratory syndrome coronavirus 2,"Ammons,M.C., Radke,J., Hobdey,S., Bolz,D., McIndoo,E., Burgoyne,H.M., Price,E., Stevens,D., Beukelman,M.R., Burns,C., Ceniseros,A., Loera,C., Voermans,R.L., Ball,C.","BVAMC, Research",USA,2022-03-30T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,41407,Severe acute respiratory syndrome-related coronavirus,29830,complete,USA,USA,,,,2020-06-25
ON110358,Severe acute respiratory syndrome coronavirus 2,"Ammons,M.C., Radke,J., Hobdey,S., Bolz,D., McIndoo,E., Burgoyne,H.M., Price,E., Stevens,D., Beukelman,M.R., Burns,C., Ceniseros,A., Loera,C., Voermans,R.L., Ball,C.","BVAMC, Research",USA,2022-03-30T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,41408,Severe acute respiratory syndrome-related coronavirus,29831,complete,USA,USA,,,,2020-07-08
ON110361,Severe acute respiratory syndrome coronavirus 2,"Ammons,M.C., Radke,J., Hobdey,S., Bolz,D., McIndoo,E., Burgoyne,H.M., Price,E., Stevens,D., Beukelman,M.R., Burns,C., Ceniseros,A., Loera,C., Voermans,R.L., Ball,C.","BVAMC, Research",USA,2022-03-30T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,41423,Severe acute respiratory syndrome-related coronavirus,29830,complete,USA,USA,,,,2020-08-03
ON110362,Severe acute respiratory syndrome coronavirus 2,"Ammons,M.C., Radke,J., Hobdey,S., Bolz,D., McIndoo,E., Burgoyne,H.M., Price,E., Stevens,D., Beukelman,M.R., Burns,C., Ceniseros,A., Loera,C., Voermans,R.L., Ball,C.","BVAMC, Research",USA,2022-03-30T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,41432,Severe acute respiratory syndrome-related coronavirus,29831,complete,USA,USA,,,,2020-06-24
ON110363,Severe acute respiratory syndrome coronavirus 2,"Ammons,M.C., Radke,J., Hobdey,S., Bolz,D., McIndoo,E., Burgoyne,H.M., Price,E., Stevens,D., Beukelman,M.R., Burns,C., Ceniseros,A., Loera,C., Voermans,R.L., Ball,C.","BVAMC, Research",USA,2022-03-30T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,41435,Severe acute respiratory syndrome-related coronavirus,29823,complete,USA,USA,,,,2020-06-23
ON110364,Severe acute respiratory syndrome coronavirus 2,"Ammons,M.C., Radke,J., Hobdey,S., Bolz,D., McIndoo,E., Burgoyne,H.M., Price,E., Stevens,D., Beukelman,M.R., Burns,C., Ceniseros,A., Loera,C., Voermans,R.L., Ball,C.","BVAMC, Research",USA,2022-03-30T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,41436,Severe acute respiratory syndrome-related coronavirus,29830,complete,USA,USA,,,,2020-06-23
ON110365,Severe acute respiratory syndrome coronavirus 2,"Ammons,M.C., Radke,J., Hobdey,S., Bolz,D., McIndoo,E., Burgoyne,H.M., Price,E., Stevens,D., Beukelman,M.R., Burns,C., Ceniseros,A., Loera,C., Voermans,R.L., Ball,C.","BVAMC, Research",USA,2022-03-30T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,41438,Severe acute respiratory syndrome-related coronavirus,29824,complete,USA,USA,,,,2020-06-23
ON110366,Severe acute respiratory syndrome coronavirus 2,"Ammons,M.C., Radke,J., Hobdey,S., Bolz,D., McIndoo,E., Burgoyne,H.M., Price,E., Stevens,D., Beukelman,M.R., Burns,C., Ceniseros,A., Loera,C., Voermans,R.L., Ball,C.","BVAMC, Research",USA,2022-03-30T00:00:00Z,B.1.426,4.3/1.21/v0.1.12/0.3.18,,41444,Severe acute respiratory syndrome-related coronavirus,29831,complete,USA,USA,,,,2020-08-06
ON110367,Severe acute respiratory syndrome coronavirus 2,"Ammons,M.C., Radke,J., Hobdey,S., Bolz,D., McIndoo,E., Burgoyne,H.M., Price,E., Stevens,D., Beukelman,M.R., Burns,C., Ceniseros,A., Loera,C., Voermans,R.L., Ball,C.","BVAMC, Research",USA,2022-03-30T00:00:00Z,B.1,4.3/1.21/v0.1.12/0.3.18,,41542,Severe acute respiratory syndrome-related coronavirus,29828,complete,"USA: Washington, Idaho",USA,WA,,,2020-08-25
ON110369,Severe acute respiratory syndrome coronavirus 2,"Ammons,M.C., Radke,J., Hobdey,S., Bolz,D., McIndoo,E., Burgoyne,H.M., Price,E., Stevens,D., Beukelman,M.R., Burns,C., Ceniseros,A., Loera,C., Voermans,R.L., Ball,C.","BVAMC, Research",USA,2022-03-30T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,41679,Severe acute respiratory syndrome-related coronavirus,29811,complete,"USA: Cassia, Idaho",USA,ID,,,2020-09-18
ON110370,Severe acute respiratory syndrome coronavirus 2,"Ammons,M.C., Radke,J., Hobdey,S., Bolz,D., McIndoo,E., Burgoyne,H.M., Price,E., Stevens,D., Beukelman,M.R., Burns,C., Ceniseros,A., Loera,C., Voermans,R.L., Ball,C.","BVAMC, Research",USA,2022-03-30T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,41714,Severe acute respiratory syndrome-related coronavirus,29825,complete,"USA: Washington, Idaho",USA,WA,,,2020-09-22
ON110371,Severe acute respiratory syndrome coronavirus 2,"Ammons,M.C., Radke,J., Hobdey,S., Bolz,D., McIndoo,E., Burgoyne,H.M., Price,E., Stevens,D., Beukelman,M.R., Burns,C., Ceniseros,A., Loera,C., Voermans,R.L., Ball,C.","BVAMC, Research",USA,2022-03-30T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,41716,Severe acute respiratory syndrome-related coronavirus,29831,complete,"USA: Washington, Idaho",USA,WA,,,2020-09-22
ON110372,Severe acute respiratory syndrome coronavirus 2,"Ammons,M.C., Radke,J., Hobdey,S., Bolz,D., McIndoo,E., Burgoyne,H.M., Price,E., Stevens,D., Beukelman,M.R., Burns,C., Ceniseros,A., Loera,C., Voermans,R.L., Ball,C.","BVAMC, Research",USA,2022-03-30T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,41717,Severe acute respiratory syndrome-related coronavirus,29830,complete,"USA: Washington, Idaho",USA,WA,,,2020-09-22
ON110373,Severe acute respiratory syndrome coronavirus 2,"Ammons,M.C., Radke,J., Hobdey,S., Bolz,D., McIndoo,E., Burgoyne,H.M., Price,E., Stevens,D., Beukelman,M.R., Burns,C., Ceniseros,A., Loera,C., Voermans,R.L., Ball,C.","BVAMC, Research",USA,2022-03-30T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,41718,Severe acute respiratory syndrome-related coronavirus,29829,complete,"USA: Washington, Idaho",USA,WA,,,2020-09-22
ON110374,Severe acute respiratory syndrome coronavirus 2,"Ammons,M.C., Radke,J., Hobdey,S., Bolz,D., McIndoo,E., Burgoyne,H.M., Price,E., Stevens,D., Beukelman,M.R., Burns,C., Ceniseros,A., Loera,C., Voermans,R.L., Ball,C.","BVAMC, Research",USA,2022-03-30T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,41743,Severe acute respiratory syndrome-related coronavirus,29823,complete,"USA: Elmore, Idaho",USA,AL,,,2020-09-24
ON110375,Severe acute respiratory syndrome coronavirus 2,"Ammons,M.C., Radke,J., Hobdey,S., Bolz,D., McIndoo,E., Burgoyne,H.M., Price,E., Stevens,D., Beukelman,M.R., Burns,C., Ceniseros,A., Loera,C., Voermans,R.L., Ball,C.","BVAMC, Research",USA,2022-03-30T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,41744,Severe acute respiratory syndrome-related coronavirus,29828,complete,"USA: Elmore, Idaho",USA,AL,,,2020-09-24
ON110378,Severe acute respiratory syndrome coronavirus 2,"Ammons,M.C., Radke,J., Hobdey,S., Bolz,D., McIndoo,E., Burgoyne,H.M., Price,E., Stevens,D., Beukelman,M.R., Burns,C., Ceniseros,A., Loera,C., Voermans,R.L., Ball,C.","BVAMC, Research",USA,2022-03-30T00:00:00Z,B.1.2,4.3/1.21/v0.1.12/0.3.18,,41827,Severe acute respiratory syndrome-related coronavirus,29823,complete,"USA: Elmore, Idaho",USA,AL,,oronasopharynx,2020-10-05
ON110381,Severe acute respiratory syndrome coronavirus 2,"Ammons,M.C., Radke,J., Hobdey,S., Bolz,D., McIndoo,E., Burgoyne,H.M., Price,E., Stevens,D., Beukelman,M.R., Burns,C., Ceniseros,A., Loera,C., Voermans,R.L., Ball,C.","BVAMC, Research",USA,2022-03-30T00:00:00Z,B.1.596,4.3/1.21/v0.1.12/0.3.18,,41923,Severe acute respiratory syndrome-related coronavirus,29831,complete,"USA: Elmore, Idaho",USA,AL,,oronasopharynx,2020-10-19
ON110382,Severe acute respiratory syndrome coronavirus 2,"Ammons,M.C., Radke,J., Hobdey,S., Bolz,D., McIndoo,E., Burgoyne,H.M., Price,E., Stevens,D., Beukelman,M.R., Burns,C., Ceniseros,A., Loera,C., Voermans,R.L., Ball,C.","BVAMC, Research",USA,2022-03-30T00:00:00Z,B.1.596,4.3/1.21/v0.1.12/0.3.18,,41924,Severe acute respiratory syndrome-related coronavirus,29831,complete,"USA: Elmore, Idaho",USA,AL,,oronasopharynx,2020-10-19
